"filename", "language", "JavaScript", "JSON", "TypeScript", "YAML", "JSON with Comments", "HTML", "CSS", "TypeScript JSX", "Markdown", "SCSS", "MDX", "Ignore", "comment", "blank", "total"
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\.commitlintrc.cjs", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\.eslintrc.cjs", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 33
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\.prettierrc.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\bin\dev\.temp\ssr-entry.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\bin\dev\build\assets\client-entry-3cfcca19.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 1, 41
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\bin\docs\.temp\ssr-entry.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\bin\docs\build\assets\client-entry-3cfcca19.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 1, 41
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\bin\docs\build\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\bin\island.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\build\assets\Counter.21c345d4.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\build\assets\a.b34fa01b.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\build\assets\b.801ebfd4.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\build\assets\client-entry.4133bfca.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\build\assets\client-entry.ec22e8ed.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 1, 75
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\build\assets\index.b27730de.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\build\assets\index.e4ac3969.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\dist\chunk-3W46IG2A.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 58
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\dist\chunk-4VO3P7FP.js", "JavaScript", 541, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 32, 681
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\dist\chunk-I7RX6JT6.mjs", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 66
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\dist\chunk-SJ2ME6Q4.mjs", "JavaScript", 552, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 24, 685
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\dist\cli.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\dist\cli.js", "JavaScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 118
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\dist\cli.mjs", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 118
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\dist\dev.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\dist\dev.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 26
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\dist\dev.mjs", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 26
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\dist\index.d.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\dist\index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\dist\index.mjs", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\docs\Counter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\docs\build\assets\client-entry-3cfcca19.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 1, 41
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\docs\build\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\docs\config.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 29
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\docs\guide\a.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\docs\guide\b.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\docs\index.mdx", "MDX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 2, 38
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\docs\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\e2e\index.test.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\e2e\playground\basic\docs\index.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\e2e\playground\basic\package.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\e2e\playground\basic\pnpm-lock.yaml", "YAML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\package.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 92
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\playwright.config.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 18
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\pnpm-lock.yaml", "YAML", 0, 0, 0, 5391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 830, 6221
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\script\prepare-e2e.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 41
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\node\__test__\index.test.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\node\__test__\md.test.ts", "TypeScript", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 101
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\node\build.ts", "TypeScript", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 4, 112
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\node\cli.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 35
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\node\config.ts", "TypeScript", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 80
